"pattern","alias"
"\+1"," плюс "
"\+"," плюс "
"-"," минус "
":\)"," счастье "
";\)"," счастье "
":\("," грусть "
"\)\)"," счастье "
"\(\("," грусть "
"\([a-zA-Z]{1,7}\)"," восклицание "
"\d+:\d+"," время "
"\d+"," число "
"ё","е"
